Test6. Start Pump Simulator Test 
Intial Slope = -0.08682
Starting svp pump_{130, 50, 5}
  45: ↑ 45   , RAM cost:1.7435 GB    
  76: ↑ 76 ↓ 64 , RAM cost:1.9370 GB   
  76: ↑ 76 ↓ 63 , RAM cost:1.9370 GB   
  76: ↑ 76 ↓ 62 , RAM cost:1.9370 GB   
  76: ↑ 76 ↓ 61 , RAM cost:1.9370 GB   
  76: ↑ 76 ↓ 60 , RAM cost:1.9370 GB   
  76: ↑ 76 ↓ 59 , RAM cost:1.9370 GB   
  76: ↑ 76 ↓ 58 , RAM cost:1.9370 GB   
  76: ↑ 76 ↓ 57 , RAM cost:1.9370 GB   
  76: ↑ 76 ↓ 56 , RAM cost:1.9372 GB   
  76: ↑ 76 ↓ 55 , RAM cost:1.9372 GB   
  76: ↑ 76 ↓ 54 , RAM cost:1.9372 GB   
  76: ↑ 76 ↓ 53 , RAM cost:1.9372 GB   
  76: ↑ 76 ↓ 52 , RAM cost:1.9372 GB   
  76: ↑ 76 ↓ 51 , RAM cost:1.9372 GB   
  76: ↑ 76 ↓ 50 , RAM cost:1.9372 GB   
  76: ↑ 76 ↓ 49 , RAM cost:1.9372 GB   
  76: ↑ 76 ↓ 48 , RAM cost:1.9372 GB   
  76: ↑ 76 ↓ 47 , RAM cost:1.9372 GB   
  76: ↑ 76 ↓ 46 , RAM cost:1.9372 GB   
  76: ↑ 76 ↓ 45 , RAM cost:1.9372 GB   
  76: ↑ 76 ↓ 44 , RAM cost:1.9372 GB   
  76: ↑ 76 ↓ 43 , RAM cost:1.9372 GB   
  76: ↑ 76 ↓ 42 , RAM cost:1.9372 GB   
  76: ↑ 76 ↓ 41 , RAM cost:1.9372 GB   
  76: ↑ 76 ↓ 40 , RAM cost:1.9372 GB   
  76: ↑ 76 ↓ 39 , RAM cost:1.9372 GB   
  76: ↑ 76 ↓ 38 , RAM cost:1.9372 GB   
  76: ↑ 76 ↓ 37 , RAM cost:1.9372 GB   
  76: ↑ 76 ↓ 36 , RAM cost:1.9372 GB   
  76: ↑ 76 ↓ 35 , RAM cost:1.9372 GB   
  76: ↑ 76 ↓ 34 , RAM cost:1.9372 GB   
  76: ↑ 76 ↓ 33 , RAM cost:1.9372 GB   
  76: ↑ 76 ↓ 32 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓ 31 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓ 30 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓ 29 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓ 28 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓ 27 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓ 26 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓ 25 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓ 24 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓ 23 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓ 22 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓ 21 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓ 20 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓ 19 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓ 18 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓ 17 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓ 16 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓ 15 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓ 14 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓ 13 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓ 12 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓ 11 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓ 10 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓  9 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓  8 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓  7 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓  6 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓  5 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓  4 , RAM cost:1.8120 GB   
  76: ↑ 76 ↓  3 , RAM cost:1.8120 GB   slope: -0.08302, walltime: 55.214 sec, max_RAM_cost: 2.062 GB

Intial Slope = -0.08721
Starting svp pump_{90, 90, 9}

  81: ↑ 51   , RAM cost:1.8886 GB    
  81: ↑ 52   , RAM cost:1.8886 GB    
  81: ↑ 53   , RAM cost:1.8886 GB    
  81: ↑ 54   , RAM cost:1.8886 GB    
  81: ↑ 55   , RAM cost:1.8886 GB    
  81: ↑ 56   , RAM cost:1.8886 GB    
  81: ↑ 57   , RAM cost:1.8886 GB    
  81: ↑ 58   , RAM cost:1.8892 GB    
  81: ↑ 59   , RAM cost:1.8897 GB    
  81: ↑ 60   , RAM cost:1.8904 GB    
  81: ↑ 61   , RAM cost:1.8913 GB    
  81: ↑ 62   , RAM cost:1.8922 GB    
  81: ↑ 63   , RAM cost:1.8931 GB    
  81: ↑ 64   , RAM cost:1.8945 GB    
  81: ↑ 65   , RAM cost:2.0134 GB    
  81: ↑ 66   , RAM cost:2.0151 GB    
  81: ↑ 67   , RAM cost:2.0170 GB    
  81: ↑ 68   , RAM cost:2.0192 GB    
  81: ↑ 69   , RAM cost:2.0216 GB    
  81: ↑ 70   , RAM cost:2.0244 GB    
  81: ↑ 71   , RAM cost:2.0299 GB    
  81: ↑ 72   , RAM cost:2.0337 GB    
  81: ↑ 73   , RAM cost:2.0382 GB    
  81: ↑ 74   , RAM cost:2.0433 GB    
  81: ↑ 75   , RAM cost:2.0494 GB    
  81: ↑ 76   , RAM cost:2.0562 GB    
  81: ↑ 77   , RAM cost:2.0646 GB    
  81: ↑ 78   , RAM cost:2.0738 GB    
  81: ↑ 79   , RAM cost:2.0851 GB    
  81: ↑ 80   , RAM cost:2.0973 GB    
  81: ↑ 81   , RAM cost:2.1115 GB    
  81: ↑ 81 ↓ 80 , RAM cost:2.1280 GB   
  81: ↑ 81 ↓ 79 , RAM cost:2.1290 GB   
  81: ↑ 81 ↓ 78 , RAM cost:2.1291 GB   
  81: ↑ 81 ↓ 77 , RAM cost:2.1291 GB   
  81: ↑ 81 ↓ 76 , RAM cost:2.1308 GB   
  81: ↑ 81 ↓ 75 , RAM cost:2.1308 GB   
  81: ↑ 81 ↓ 74 , RAM cost:2.1308 GB   
  81: ↑ 81 ↓ 73 , RAM cost:2.1308 GB   
  81: ↑ 81 ↓ 72 , RAM cost:2.1308 GB   
  81: ↑ 81 ↓ 71 , RAM cost:2.1308 GB   
  81: ↑ 81 ↓ 70 , RAM cost:2.1308 GB   
  81: ↑ 81 ↓ 69 , RAM cost:2.1308 GB   
  81: ↑ 81 ↓ 68 , RAM cost:2.1308 GB   
  81: ↑ 81 ↓ 67 , RAM cost:2.1308 GB   
  81: ↑ 81 ↓ 66 , RAM cost:2.1308 GB   
  81: ↑ 81 ↓ 65 , RAM cost:2.1308 GB   
  81: ↑ 81 ↓ 64 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 63 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 62 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 61 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 60 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 59 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 58 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 57 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 56 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 55 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 54 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 53 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 52 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 51 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 50 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 49 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 48 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 47 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 46 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 45 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 44 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 43 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 42 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 41 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 40 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 39 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 38 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 37 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 36 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 35 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 34 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 33 , RAM cost:2.0058 GB   
  81: ↑ 81 ↓ 32 , RAM cost:1.8806 GB   
  81: ↑ 81 ↓ 31 , RAM cost:1.8806 GB   
  81: ↑ 81 ↓ 30 , RAM cost:1.8806 GB   
  81: ↑ 81 ↓ 29 , RAM cost:1.8806 GB   
  81: ↑ 81 ↓ 28 , RAM cost:1.8808 GB   
  81: ↑ 81 ↓ 27 , RAM cost:1.8808 GB   
  81: ↑ 81 ↓ 26 , RAM cost:1.8808 GB   
  81: ↑ 81 ↓ 25 , RAM cost:1.8808 GB   
  81: ↑ 81 ↓ 24 , RAM cost:1.8808 GB   
  81: ↑ 81 ↓ 23 , RAM cost:1.8808 GB   
  81: ↑ 81 ↓ 22 , RAM cost:1.8808 GB   
  81: ↑ 81 ↓ 21 , RAM cost:1.8808 GB   
  81: ↑ 81 ↓ 20 , RAM cost:1.8808 GB   
  81: ↑ 81 ↓ 19 , RAM cost:1.8808 GB   
  81: ↑ 81 ↓ 18 , RAM cost:1.8808 GB   
  81: ↑ 81 ↓ 17 , RAM cost:1.8808 GB   
  81: ↑ 81 ↓ 16 , RAM cost:1.8808 GB   
  81: ↑ 81 ↓ 15 , RAM cost:1.8808 GB   
  81: ↑ 81 ↓ 14 , RAM cost:1.8808 GB   
  81: ↑ 81 ↓ 13 , RAM cost:1.8808 GB   
  81: ↑ 81 ↓ 12 , RAM cost:1.8808 GB   
  81: ↑ 81 ↓ 11 , RAM cost:1.8808 GB   
  81: ↑ 81 ↓ 10 , RAM cost:1.8808 GB   
  81: ↑ 81 ↓  9 , RAM cost:1.8808 GB   
  81: ↑ 81 ↓  8 , RAM cost:1.8808 GB   
  81: ↑ 81 ↓  7 , RAM cost:1.8808 GB   
  81: ↑ 81 ↓  6 , RAM cost:1.8808 GB   
  81: ↑ 81 ↓  5 , RAM cost:1.8808 GB   
  81: ↑ 81 ↓  4 , RAM cost:1.8808 GB   
  81: ↑ 81 ↓  3 , RAM cost:1.8808 GB   slope: -0.08304, walltime: 71.716 sec, max_RAM_cost: 2.131 GB

Intial Slope = -0.08539
Starting svp pump_{90, 90, 9}

  81: ↑ 51   , RAM cost:1.8954 GB    
  81: ↑ 52   , RAM cost:1.8954 GB    
  81: ↑ 53   , RAM cost:1.8954 GB    
  81: ↑ 54   , RAM cost:1.8954 GB    
  81: ↑ 55   , RAM cost:1.8954 GB    
  81: ↑ 56   , RAM cost:1.8954 GB    
  81: ↑ 57   , RAM cost:1.8954 GB    
  81: ↑ 58   , RAM cost:1.8957 GB    
  81: ↑ 59   , RAM cost:1.8964 GB    
  81: ↑ 60   , RAM cost:1.8972 GB    
  81: ↑ 61   , RAM cost:1.8979 GB    
  81: ↑ 62   , RAM cost:1.8988 GB    
  81: ↑ 63   , RAM cost:1.8998 GB    
  81: ↑ 64   , RAM cost:1.9010 GB    
  81: ↑ 65   , RAM cost:2.0201 GB    
  81: ↑ 66   , RAM cost:2.0219 GB    
  81: ↑ 67   , RAM cost:2.0238 GB    
  81: ↑ 68   , RAM cost:2.0260 GB    
  81: ↑ 69   , RAM cost:2.0284 GB    
  81: ↑ 70   , RAM cost:2.0313 GB    
  81: ↑ 71   , RAM cost:2.0351 GB    
  81: ↑ 72   , RAM cost:2.0389 GB    
  81: ↑ 73   , RAM cost:2.0433 GB    
  81: ↑ 74   , RAM cost:2.0485 GB    
  81: ↑ 75   , RAM cost:2.0544 GB    
  81: ↑ 76   , RAM cost:2.0613 GB    
  81: ↑ 77   , RAM cost:2.0692 GB    
  81: ↑ 78   , RAM cost:2.0782 GB    
  81: ↑ 79   , RAM cost:2.0890 GB    
  81: ↑ 80   , RAM cost:2.1014 GB    
  81: ↑ 81   , RAM cost:2.1155 GB    
  81: ↑ 81 ↓ 80 , RAM cost:2.1321 GB   
  81: ↑ 81 ↓ 79 , RAM cost:2.1322 GB   
  81: ↑ 81 ↓ 78 , RAM cost:2.1322 GB   
  81: ↑ 81 ↓ 77 , RAM cost:2.1322 GB   
  81: ↑ 81 ↓ 76 , RAM cost:2.1322 GB   
  81: ↑ 81 ↓ 75 , RAM cost:2.1322 GB   
  81: ↑ 81 ↓ 74 , RAM cost:2.1322 GB   
  81: ↑ 81 ↓ 73 , RAM cost:2.1322 GB   
  81: ↑ 81 ↓ 72 , RAM cost:2.1322 GB   
  81: ↑ 81 ↓ 71 , RAM cost:2.1322 GB   
  81: ↑ 81 ↓ 70 , RAM cost:2.1322 GB   
  81: ↑ 81 ↓ 69 , RAM cost:2.1322 GB   
  81: ↑ 81 ↓ 68 , RAM cost:2.1322 GB   
  81: ↑ 81 ↓ 67 , RAM cost:2.1322 GB   
  81: ↑ 81 ↓ 66 , RAM cost:2.1322 GB   
  81: ↑ 81 ↓ 65 , RAM cost:2.1322 GB   
  81: ↑ 81 ↓ 64 , RAM cost:2.0071 GB   
  81: ↑ 81 ↓ 63 , RAM cost:2.0071 GB   
  81: ↑ 81 ↓ 62 , RAM cost:2.0071 GB   
  81: ↑ 81 ↓ 61 , RAM cost:2.0071 GB   
  81: ↑ 81 ↓ 60 , RAM cost:2.0071 GB   
  81: ↑ 81 ↓ 59 , RAM cost:2.0071 GB   
  81: ↑ 81 ↓ 58 , RAM cost:2.0071 GB   
  81: ↑ 81 ↓ 57 , RAM cost:2.0071 GB   
  81: ↑ 81 ↓ 56 , RAM cost:2.0071 GB   
  81: ↑ 81 ↓ 55 , RAM cost:2.0071 GB   
  81: ↑ 81 ↓ 54 , RAM cost:2.0071 GB   
  81: ↑ 81 ↓ 53 , RAM cost:2.0071 GB   
  81: ↑ 81 ↓ 52 , RAM cost:2.0072 GB   
  81: ↑ 81 ↓ 51 , RAM cost:2.0072 GB   
  81: ↑ 81 ↓ 50 , RAM cost:2.0072 GB   
  81: ↑ 81 ↓ 49 , RAM cost:2.0072 GB   
  81: ↑ 81 ↓ 48 , RAM cost:2.0072 GB   
  81: ↑ 81 ↓ 47 , RAM cost:2.0072 GB   
  81: ↑ 81 ↓ 46 , RAM cost:2.0072 GB   
  81: ↑ 81 ↓ 45 , RAM cost:2.0072 GB   
  81: ↑ 81 ↓ 44 , RAM cost:2.0072 GB   
  81: ↑ 81 ↓ 43 , RAM cost:2.0072 GB   
  81: ↑ 81 ↓ 42 , RAM cost:2.0072 GB   
  81: ↑ 81 ↓ 41 , RAM cost:2.0072 GB   
  81: ↑ 81 ↓ 40 , RAM cost:2.0072 GB   
  81: ↑ 81 ↓ 39 , RAM cost:2.0072 GB   
  81: ↑ 81 ↓ 38 , RAM cost:2.0072 GB   
  81: ↑ 81 ↓ 37 , RAM cost:2.0072 GB   
  81: ↑ 81 ↓ 36 , RAM cost:2.0072 GB   
  81: ↑ 81 ↓ 35 , RAM cost:2.0072 GB   
  81: ↑ 81 ↓ 34 , RAM cost:2.0072 GB   
  81: ↑ 81 ↓ 33 , RAM cost:2.0072 GB   
  81: ↑ 81 ↓ 32 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓ 31 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓ 30 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓ 29 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓ 28 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓ 27 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓ 26 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓ 25 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓ 24 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓ 23 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓ 22 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓ 21 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓ 20 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓ 19 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓ 18 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓ 17 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓ 16 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓ 15 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓ 14 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓ 13 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓ 12 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓ 11 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓ 10 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓  9 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓  8 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓  7 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓  6 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓  5 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓  4 , RAM cost:1.8822 GB   
  81: ↑ 81 ↓  3 , RAM cost:1.8822 GB   slope: -0.08127, walltime: 72.911 sec, max_RAM_cost: 2.132 GB

Intial Slope = -0.08821
Starting svp pump_{85, 95, 10}

  85: ↑ 51   , RAM cost:1.8968 GB    
  85: ↑ 52   , RAM cost:1.8968 GB    
  85: ↑ 53   , RAM cost:1.8968 GB    
  85: ↑ 54   , RAM cost:1.8968 GB    
  85: ↑ 55   , RAM cost:1.8968 GB    
  85: ↑ 56   , RAM cost:1.8968 GB    
  85: ↑ 57   , RAM cost:1.8968 GB    
  85: ↑ 58   , RAM cost:1.8973 GB    
  85: ↑ 59   , RAM cost:1.8978 GB    
  85: ↑ 60   , RAM cost:1.8985 GB    
  85: ↑ 61   , RAM cost:1.8994 GB    
  85: ↑ 62   , RAM cost:1.9003 GB    
  85: ↑ 63   , RAM cost:1.9012 GB    
  85: ↑ 64   , RAM cost:1.9026 GB    
  85: ↑ 65   , RAM cost:2.0216 GB    
  85: ↑ 66   , RAM cost:2.0232 GB    
  85: ↑ 67   , RAM cost:2.0250 GB    
  85: ↑ 68   , RAM cost:2.0272 GB    
  85: ↑ 69   , RAM cost:2.0297 GB    
  85: ↑ 70   , RAM cost:2.0326 GB    
  85: ↑ 71   , RAM cost:2.0365 GB    
  85: ↑ 72   , RAM cost:2.0404 GB    
  85: ↑ 73   , RAM cost:2.0448 GB    
  85: ↑ 74   , RAM cost:2.0499 GB    
  85: ↑ 75   , RAM cost:2.0558 GB    
  85: ↑ 76   , RAM cost:2.0626 GB    
  85: ↑ 77   , RAM cost:2.0705 GB    
  85: ↑ 78   , RAM cost:2.0797 GB    
  85: ↑ 79   , RAM cost:2.0902 GB    
  85: ↑ 80   , RAM cost:2.1023 GB    
  85: ↑ 81   , RAM cost:2.1166 GB    
  85: ↑ 82   , RAM cost:2.1328 GB    
  85: ↑ 83   , RAM cost:2.1522 GB    
  85: ↑ 84   , RAM cost:2.1740 GB    
  85: ↑ 85   , RAM cost:2.2265 GB    
  85: ↑ 85 ↓ 84 , RAM cost:2.2630 GB   
  85: ↑ 85 ↓ 83 , RAM cost:2.2630 GB   
  85: ↑ 85 ↓ 82 , RAM cost:2.2630 GB   
  85: ↑ 85 ↓ 81 , RAM cost:2.2630 GB   
  85: ↑ 85 ↓ 80 , RAM cost:2.2630 GB   
  85: ↑ 85 ↓ 79 , RAM cost:2.2630 GB   
  85: ↑ 85 ↓ 78 , RAM cost:2.2644 GB   
  85: ↑ 85 ↓ 77 , RAM cost:2.2648 GB   
  85: ↑ 85 ↓ 76 , RAM cost:2.2665 GB   
  85: ↑ 85 ↓ 75 , RAM cost:2.2665 GB   
  85: ↑ 85 ↓ 74 , RAM cost:2.2665 GB   
  85: ↑ 85 ↓ 73 , RAM cost:2.2665 GB   
  85: ↑ 85 ↓ 72 , RAM cost:2.2665 GB   
  85: ↑ 85 ↓ 71 , RAM cost:2.2665 GB   
  85: ↑ 85 ↓ 70 , RAM cost:2.2665 GB   
  85: ↑ 85 ↓ 69 , RAM cost:2.2665 GB   
  85: ↑ 85 ↓ 68 , RAM cost:2.2665 GB   
  85: ↑ 85 ↓ 67 , RAM cost:2.2665 GB   
  85: ↑ 85 ↓ 66 , RAM cost:2.2665 GB   
  85: ↑ 85 ↓ 65 , RAM cost:2.2665 GB   
  85: ↑ 85 ↓ 64 , RAM cost:2.1413 GB   
  85: ↑ 85 ↓ 63 , RAM cost:2.1413 GB   
  85: ↑ 85 ↓ 62 , RAM cost:2.1413 GB   
  85: ↑ 85 ↓ 61 , RAM cost:2.1414 GB   
  85: ↑ 85 ↓ 60 , RAM cost:2.1414 GB   
  85: ↑ 85 ↓ 59 , RAM cost:2.1414 GB   
  85: ↑ 85 ↓ 58 , RAM cost:2.1414 GB   
  85: ↑ 85 ↓ 57 , RAM cost:2.1414 GB   
  85: ↑ 85 ↓ 56 , RAM cost:2.1414 GB   
  85: ↑ 85 ↓ 55 , RAM cost:2.1414 GB   
  85: ↑ 85 ↓ 54 , RAM cost:2.1414 GB   
  85: ↑ 85 ↓ 53 , RAM cost:2.1414 GB   
  85: ↑ 85 ↓ 52 , RAM cost:2.1414 GB   
  85: ↑ 85 ↓ 51 , RAM cost:2.1414 GB   
  85: ↑ 85 ↓ 50 , RAM cost:2.1414 GB   
  85: ↑ 85 ↓ 49 , RAM cost:2.1415 GB   
  85: ↑ 85 ↓ 48 , RAM cost:2.1415 GB   
  85: ↑ 85 ↓ 47 , RAM cost:2.1415 GB   
  85: ↑ 85 ↓ 46 , RAM cost:2.1415 GB   
  85: ↑ 85 ↓ 45 , RAM cost:2.1415 GB   
  85: ↑ 85 ↓ 44 , RAM cost:2.1415 GB   
  85: ↑ 85 ↓ 43 , RAM cost:2.1415 GB   
  85: ↑ 85 ↓ 42 , RAM cost:2.1415 GB   
  85: ↑ 85 ↓ 41 , RAM cost:2.1415 GB   
  85: ↑ 85 ↓ 40 , RAM cost:2.1415 GB   
  85: ↑ 85 ↓ 39 , RAM cost:2.1415 GB   
  85: ↑ 85 ↓ 38 , RAM cost:2.1415 GB   
  85: ↑ 85 ↓ 37 , RAM cost:2.1415 GB   
  85: ↑ 85 ↓ 36 , RAM cost:2.1415 GB   
  85: ↑ 85 ↓ 35 , RAM cost:2.1415 GB   
  85: ↑ 85 ↓ 34 , RAM cost:2.1415 GB   
  85: ↑ 85 ↓ 33 , RAM cost:2.1415 GB   
  85: ↑ 85 ↓ 32 , RAM cost:2.0161 GB   
  85: ↑ 85 ↓ 31 , RAM cost:2.0161 GB   
  85: ↑ 85 ↓ 30 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓ 29 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓ 28 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓ 27 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓ 26 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓ 25 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓ 24 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓ 23 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓ 22 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓ 21 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓ 20 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓ 19 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓ 18 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓ 17 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓ 16 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓ 15 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓ 14 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓ 13 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓ 12 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓ 11 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓ 10 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓  9 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓  8 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓  7 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓  6 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓  5 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓  4 , RAM cost:2.0164 GB   
  85: ↑ 85 ↓  3 , RAM cost:2.0164 GB   slope: -0.08332, walltime: 92.882 sec, max_RAM_cost: 2.267 GB

Intial Slope = -0.08678
Starting svp pump_{85, 95, 10}

  85: ↑ 51   , RAM cost:1.9374 GB    
  85: ↑ 52   , RAM cost:1.9374 GB    
  85: ↑ 53   , RAM cost:1.9374 GB    
  85: ↑ 54   , RAM cost:1.9374 GB    
  85: ↑ 55   , RAM cost:1.9374 GB    
  85: ↑ 56   , RAM cost:1.9374 GB    
  85: ↑ 57   , RAM cost:1.9374 GB    
  85: ↑ 58   , RAM cost:1.9379 GB    
  85: ↑ 59   , RAM cost:1.9384 GB    
  85: ↑ 60   , RAM cost:1.9392 GB    
  85: ↑ 61   , RAM cost:1.9399 GB    
  85: ↑ 62   , RAM cost:1.9408 GB    
  85: ↑ 63   , RAM cost:1.9420 GB    
  85: ↑ 64   , RAM cost:1.9432 GB    
  85: ↑ 65   , RAM cost:2.0619 GB    
  85: ↑ 66   , RAM cost:2.0638 GB    
  85: ↑ 67   , RAM cost:2.0656 GB    
  85: ↑ 68   , RAM cost:2.0677 GB    
  85: ↑ 69   , RAM cost:2.0702 GB    
  85: ↑ 70   , RAM cost:2.0731 GB    
  85: ↑ 71   , RAM cost:2.0785 GB    
  85: ↑ 72   , RAM cost:2.0824 GB    
  85: ↑ 73   , RAM cost:2.0866 GB    
  85: ↑ 74   , RAM cost:2.0921 GB    
  85: ↑ 75   , RAM cost:2.0979 GB    
  85: ↑ 76   , RAM cost:2.1047 GB    
  85: ↑ 77   , RAM cost:2.1127 GB    
  85: ↑ 78   , RAM cost:2.1219 GB    
  85: ↑ 79   , RAM cost:2.1325 GB    
  85: ↑ 80   , RAM cost:2.1447 GB    
  85: ↑ 81   , RAM cost:2.1590 GB    
  85: ↑ 82   , RAM cost:2.1752 GB    
  85: ↑ 83   , RAM cost:2.1938 GB    
  85: ↑ 84   , RAM cost:2.2154 GB    
  85: ↑ 85   , RAM cost:2.2454 GB    
  85: ↑ 85 ↓ 84 , RAM cost:2.2776 GB   
  85: ↑ 85 ↓ 83 , RAM cost:2.2776 GB   
  85: ↑ 85 ↓ 82 , RAM cost:2.2776 GB   
  85: ↑ 85 ↓ 81 , RAM cost:2.2776 GB   
  85: ↑ 85 ↓ 80 , RAM cost:2.2776 GB   
  85: ↑ 85 ↓ 79 , RAM cost:2.2776 GB   
  85: ↑ 85 ↓ 78 , RAM cost:2.2781 GB   
  85: ↑ 85 ↓ 77 , RAM cost:2.2784 GB   
  85: ↑ 85 ↓ 76 , RAM cost:2.2784 GB   
  85: ↑ 85 ↓ 75 , RAM cost:2.2791 GB   
