Start Pump Cost Test Experiment, test 2 times for each blocksizes
1. fixed beta = 80, threads = 32, gpus = 2 

Starting a pnjBKZ-80 tour for dim=180. 
Intial Slope = -0.08747
k:0, b:63, f:0  , RAM cost: 1.6750 GB, Pump Cost: 9.2995 s 
k:105, b:75, f:12  , RAM cost: 1.8428 GB, Pump Cost: 20.4577 s 
k:106, b:74, f:11  , RAM cost: 1.8428 GB, Pump Cost: 21.1805 s 
k:107, b:73, f:10  , RAM cost: 1.8430 GB, Pump Cost: 21.1521 s 
k:108, b:72, f:9  , RAM cost: 1.8430 GB, Pump Cost: 17.8578 s 
k:109, b:71, f:8  , RAM cost: 1.8428 GB, Pump Cost: 19.1447 s 
k:110, b:70, f:7  , RAM cost: 1.8429 GB, Pump Cost: 19.9703 s 
k:111, b:69, f:6  , RAM cost: 1.8427 GB, Pump Cost: 18.8036 s 
k:112, b:68, f:5  , RAM cost: 1.8427 GB, Pump Cost: 13.7990 s 
k:113, b:67, f:4  , RAM cost: 1.8428 GB, Pump Cost: 7.0704 s 
k:114, b:66, f:3  , RAM cost: 1.8426 GB, Pump Cost: 8.3474 s 
k:115, b:65, f:2  , RAM cost: 1.8427 GB, Pump Cost: 7.6457 s 
k:116, b:64, f:1  , RAM cost: 1.8429 GB, Pump Cost: 5.4513 s 
k:117, b:63, f:0  , RAM cost: 1.8429 GB, Pump Cost: 5.4513 s 

[7.809858798980713, 7.655387878417969, 6.815337657928467, 7.230441331863403, 6.854560613632202, 7.059697151184082, 6.983969449996948, 7.2744996547698975, 6.939079284667969, 7.6473681926727295, 7.700244426727295, 7.7037742137908936, 7.865422964096069, 8.089444637298584, 8.076578855514526, 8.615856170654297, 8.986978769302368, 8.473790645599365, 9.411185264587402, 9.264878988265991, 9.00497031211853, 9.372172117233276, 10.041308879852295, 9.83023476600647, 9.942521572113037, 10.151029825210571, 10.137614488601685, 10.59851622581482, 10.595268249511719, 11.00278091430664, 12.13352370262146, 11.510014533996582, 11.815605401992798, 12.484745740890503, 12.002548933029175, 12.110043048858643, 13.054403305053711, 13.200330018997192, 12.332708835601807, 12.891767501831055, 12.70914101600647, 12.382358074188232, 13.302472591400146, 13.546111345291138, 14.080355882644653, 12.976806402206421, 13.776062488555908, 14.58988332748413, 14.981317281723022, 15.018173217773438, 14.039489269256592, 14.74848198890686, 14.436184167861938, 13.861061096191406, 15.292221784591675, 16.556167125701904, 15.47535228729248, 16.31733465194702, 17.415068864822388, 15.643542528152466, 16.156173944473267, 16.582226276397705, 17.221343517303467, 15.517496585845947, 16.938812255859375, 17.801379203796387, 17.451574087142944, 18.635148525238037, 17.901994228363037, 18.077367782592773, 17.950626134872437, 18.92211389541626, 18.228157997131348, 18.081001043319702, 17.766806602478027, 18.81989336013794, 19.188539505004883, 19.45418930053711, 20.10381507873535, 18.669699907302856, 18.528400421142578, 19.490330934524536, 20.03315782546997, 21.371965408325195, 20.410468816757202, 18.905452966690063, 19.722537994384766, 21.132885694503784, 20.352567434310913, 18.190534353256226, 21.8612060546875, 20.32715153694153, 21.8325617313385, 23.17862057685852, 22.249288320541382, 22.11186909675598, 22.36853575706482, 21.90232014656067, 22.120461463928223, 23.818472862243652, 24.286364793777466, 22.369752407073975, 22.74596667289734, 23.38571810722351, 24.392868995666504, 21.967222929000854, 24.646605491638184, 23.881813764572144, 23.499849796295166, 24.860894918441772, 26.06799292564392, 25.308015823364258, 25.701842546463013, 25.8758864402771, 25.35404348373413, 27.630580186843872, 26.038626432418823, 25.929935932159424, 25.4670832157135, 24.66166090965271, 26.59918713569641, 23.677834510803223, 23.884822845458984, 26.536015510559082, 24.799917936325073, 25.17789936065674, 24.468265295028687, 22.34851360321045, 21.802819967269897, 22.110267877578735, 21.77850103378296, 22.422647714614868, 20.874186515808105, 20.482740879058838, 20.457721948623657, 21.18054986000061, 21.1521155834198, 17.8578097820282, 19.144707918167114, 19.970266580581665, 18.803553581237793, 13.798977136611938, 7.0703654289245605, 8.347428798675537, 7.6456520557403564, 5.451314449310303, 10.865371704101562]
slope: -0.05141, walltime: 2568.148 sec
pnjBKZ cost:
{180: [2582.1208527088165, 2568.1483471393585]}
RAM cost:
{180: [1.736114501953125, 1.8430252075195312]}
